Year,State,City by state,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,
2001,CALIFORNIA,Huntington Beach,"193,117","4,500","4,548",0,44,94,205,"1,002","2,608",547,48,,,,,,,
2001,CALIFORNIA,Huntington Park,"62,488","2,558","2,572",6,23,299,143,309,893,885,14,,,,,,,
2001,CALIFORNIA,Imperial Beach,"27,494",989,997,0,15,40,111,225,412,186,8,,,,,,,
2001,CALIFORNIA,Indio,"50,029","2,208","2,208",3,11,74,292,526,720,582,0,,,,,,,
2001,CALIFORNIA,Inglewood,"114,672","4,586","4,622",38,36,639,610,839,"1,550",874,36,,,,,,,
2001,CALIFORNIA,Irvine,"145,731","3,396","3,403",0,9,44,80,904,"2,054",305,7,,,,,,,
2001,CALIFORNIA,King City,"11,300",445,470,2,3,18,7,89,298,28,25,,,,,,,
2001,CALIFORNIA,La Canada/Flintridge,"20,696",335,338,0,0,8,17,95,193,22,3,,,,,,,
2001,CALIFORNIA,Lafayette,"24,352",448,450,0,3,13,8,75,322,27,2,,,,,,,
2001,CALIFORNIA,Laguna Beach,"24,168",721,723,0,7,8,44,150,475,37,2,,,,,,,
2001,CALIFORNIA,Laguna Hills,"31,757",757,761,1,5,11,48,108,526,58,4,,,,,,,
2001,CALIFORNIA,Laguna Niguel,"63,041",992,994,0,1,11,51,210,670,49,2,,,,,,,
2001,CALIFORNIA,Laguna Woods,"16,814",100,100,0,0,4,2,8,80,6,0,,,,,,,
2001,CALIFORNIA,La Habra,"60,070","1,785","1,801",1,5,64,120,254,"1,088",253,16,,,,,,,
2001,CALIFORNIA,Lake Elsinore,"29,466","1,321","1,322",4,9,41,186,330,564,187,1,,,,,,,
2001,CALIFORNIA,Lake Forest4,"77,410","1,284","1,293",1,6,36,67,243,807,124,9,,,,,,,
2001,CALIFORNIA,Lakewood,"80,820","2,952","2,969",2,12,156,187,354,"1,703",538,17,,,,,,,
2001,CALIFORNIA,La Mesa,"55,766","2,223","2,226",0,13,70,121,345,"1,303",371,3,,,,,,,
2001,CALIFORNIA,La Mirada,"47,652","1,073","1,079",0,6,34,100,181,586,166,6,,,,,,,
2001,CALIFORNIA,Lancaster,"120,924","4,747","4,802",7,56,263,837,"1,159","1,909",516,55,,,,,,,
2001,CALIFORNIA,La Palma,"15,694",285,286,0,4,16,17,50,142,56,1,,,,,,,
2001,CALIFORNIA,La Puente,"41,826",988,996,7,10,62,162,183,393,171,8,,,,,,,
2001,CALIFORNIA,La Quinta,"24,134","1,431","1,440",1,6,10,80,401,800,133,9,,,,,,,
2001,CALIFORNIA,La Verne,"32,226",738,745,1,8,20,51,110,482,66,7,,,,,,,
2001,CALIFORNIA,Lawndale,"32,300","1,071","1,079",1,11,113,171,245,364,166,8,,,,,,,
2001,CALIFORNIA,Lemon Grove,"25,381",887,889,1,8,49,72,190,373,194,2,,,,,,,
2001,CALIFORNIA,Lemoore,"20,078",660,663,0,4,15,57,130,382,72,3,,,,,,,
