Year,State,City by state,Population,Crime Index,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
2002,,,,,,,,,,,,,
"2,002",ARKANSAS,Ashdown,"4,847",208,208,0,3,4,18,23,153,7,0
"2,002",ARKANSAS,Atkins,"2,918",71,71,0,0,0,1,11,57,2,0
"2,002",ARKANSAS,Beebe,"4,997",182,182,0,0,0,0,19,158,5,0
"2,002",ARKANSAS,Brinkley,"3,994",35,35,0,0,3,3,7,7,15,0
"2,002",ARKANSAS,Cherokee Village,"4,712",118,118,0,0,1,4,48,61,4,0
"2,002",ARKANSAS,Corning,"3,729",158,158,0,0,0,17,7,127,7,0
"2,002",ARKANSAS,Danville,"2,425",31,31,0,0,0,2,12,17,0,0
"2,002",ARKANSAS,Dardanelle,"4,286",253,254,0,4,1,10,18,207,13,1
"2,002",ARKANSAS,Dermott,"3,337",159,159,0,0,0,6,38,105,10,0
"2,002",ARKANSAS,De Witt,"3,600",153,153,0,1,0,46,15,82,9,0
"2,002",ARKANSAS,Dumas,"5,310",383,386,0,3,4,60,89,216,11,3
"2,002",ARKANSAS,Earle,"3,077",134,134,0,0,6,18,43,58,9,0
"2,002",ARKANSAS,Eudora,"2,857",179,180,0,1,4,44,33,93,4,1
"2,002",ARKANSAS,Fairfield Bay,"2,494",67,67,0,0,0,1,9,54,3,0
"2,002",ARKANSAS,Farmington,"3,655",49,50,0,0,0,1,15,27,6,1
"2,002",ARKANSAS,Flippin,"1,376",43,43,0,0,0,0,3,40,0,0
"2,002",ARKANSAS,Fordyce,"4,865",259,259,0,0,2,25,63,158,11,0
"2,002",ARKANSAS,Greenbrier,"3,084",99,99,0,0,1,4,46,47,1,0
"2,002",ARKANSAS,Greenland,919,14,14,0,1,0,0,5,7,1,0
"2,002",ARKANSAS,Gurdon,"2,307",60,60,0,0,0,0,19,40,1,0
"2,002",ARKANSAS,Harrisburg,"2,222",168,168,1,1,2,8,54,83,19,0
"2,002",ARKANSAS,Helena,"6,409",389,391,1,1,10,21,197,139,20,2
"2,002",ARKANSAS,Hermitage,779,9,9,0,1,0,5,2,1,0,0
"2,002",ARKANSAS,Hoxie,"2,855",84,84,0,0,0,5,22,53,4,0
"2,002",ARKANSAS,Lincoln,"1,776",67,67,0,0,0,0,17,46,4,0
"2,002",ARKANSAS,Lonoke,"4,346",254,254,0,0,2,31,36,170,15,0
"2,002",ARKANSAS,Marked Tree,"2,838",124,124,0,0,0,7,0,114,3,0
"2,002",ARKANSAS,Monticello,"9,272",473,476,1,0,4,45,97,301,25,3
"2,002",ARKANSAS,Morrilton,"6,640",236,236,0,1,2,1,46,161,25,0
"2,002",ARKANSAS,Mountain View,"2,916",43,43,0,0,0,0,18,24,1,0
"2,002",ARKANSAS,Newport,"7,918",199,199,0,2,1,14,56,99,27,0
"2,002",ARKANSAS,Osceola,"8,997",473,475,1,8,5,50,110,283,16,2
"2,002",ARKANSAS,Ozark,"3,573",109,110,0,0,1,2,23,80,3,1
"2,002",ARKANSAS,Pottsville,"1,288",16,16,0,0,0,3,5,6,2,0
"2,002",ARKANSAS,Prairie Grove,"2,575",36,36,0,0,0,1,7,26,2,0
"2,002",ARKANSAS,Rose Bud,434,5,5,0,0,1,0,1,1,2,0
"2,002",ARKANSAS,Trumann,"6,984",852,853,1,9,4,62,363,374,39,1
"2,002",ARKANSAS,Waldron,"3,556",160,160,1,0,0,8,66,84,1,0
"2,002",ARKANSAS,Walnut Ridge,"4,992",213,216,0,1,2,4,72,121,13,3
"2,002",ARKANSAS,Ward,"2,616",30,30,0,0,0,5,4,16,5,0
"2,002",ARKANSAS,White Hall,"4,797",169,169,0,0,3,7,28,126,5,0
"2,002",,,,,,,,,,,,,
"2,002",,,,,, , , ,,,,,
2002,,,,,,,,,,,,,
"2,002",CALIFORNIA,Alturas,"2,998",74,78,0,2,0,7,17,43,5,4
"2,002",CALIFORNIA,Anderson,"9,353",398,401,0,8,6,23,113,225,23,3
"2,002",CALIFORNIA,Angels Camp,"3,115",151,152,0,2,0,16,33,89,11,1
"2,002",CALIFORNIA,Atherton,"7,459",144,145,0,0,2,21,37,80,4,1
"2,002",CALIFORNIA,Avalon,"3,242",265,266,0,3,1,28,53,87,93,1
"2,002",CALIFORNIA,Bear Valley,"4,387",25,25,0,0,0,0,14,11,0,0
"2,002",CALIFORNIA,Belvedere,"2,203",30,30,0,0,0,0,5,22,3,0
"2,002",CALIFORNIA,Big Bear Lake,"5,638",402,403,0,6,11,27,125,213,20,1
"2,002",CALIFORNIA,Biggs,"1,859",65,65,0,1,0,5,15,36,8,0
"2,002",CALIFORNIA,Bishop,"3,706",187,189,0,6,4,26,16,130,5,2
"2,002",CALIFORNIA,Blue Lake,"1,176",12,12,0,0,0,0,2,8,2,0
"2,002",CALIFORNIA,Bradbury,886,12,13,0,0,0,0,6,6,0,1
"2,002",CALIFORNIA,Brisbane,"3,729",90,91,0,0,0,4,20,55,11,1
"2,002",CALIFORNIA,Broadmoor,"4,174",83,83,0,0,5,14,7,38,19,0
"2,002",CALIFORNIA,Buellton,"3,968",100,100,0,2,1,5,24,65,3,0
"2,002",CALIFORNIA,California City,"8,693",368,375,1,1,4,38,99,197,28,7
"2,002",CALIFORNIA,Calimesa,"7,402",183,183,0,2,4,10,47,84,36,0
"2,002",CALIFORNIA,Calipatria,"7,557",77,77,0,1,0,8,23,40,5,0
"2,002",CALIFORNIA,Calistoga,"5,381",166,166,0,0,1,15,23,114,13,0
"2,002",CALIFORNIA,Carmel,"4,231",133,134,0,2,2,1,27,100,1,1
"2,002",CALIFORNIA,Cloverdale,"7,082",226,227,0,1,1,30,35,139,20,1
"2,002",CALIFORNIA,Colma,"1,235",345,346,0,0,7,8,5,292,33,1
"2,002",CALIFORNIA,Colusa,"5,600",176,177,0,1,0,10,47,106,12,1
"2,002",CALIFORNIA,Corning,"6,989",449,455,0,1,6,31,50,322,39,6
"2,002",CALIFORNIA,Cotati,"6,708",352,352,0,4,7,16,56,251,18,0
"2,002",CALIFORNIA,Crescent City,"4,153",375,375,1,3,6,22,84,229,30,0
"2,002",CALIFORNIA,Del Mar,"4,550",254,257,0,1,5,14,62,141,31,3
"2,002",CALIFORNIA,Del Rey Oaks,"1,711",35,35,0,0,0,0,6,29,0,0
"2,002",CALIFORNIA,Dorris,918,16,16,0,0,0,1,6,7,2,0
"2,002",CALIFORNIA,Dos Palos,"4,750",182,184,0,2,4,37,45,79,15,2
"2,002",CALIFORNIA,Dunsmuir,"1,993",51,52,0,0,3,4,16,26,2,1
"2,002",CALIFORNIA,Emeryville,"7,135","1,167","1,168",0,1,62,28,81,771,224,1
"2,002",CALIFORNIA,Escalon,"6,182",299,300,0,3,0,9,80,181,26,1
"2,002",CALIFORNIA,Etna,810,2,2,0,0,0,0,2,0,0,0
"2,002",CALIFORNIA,Exeter,"9,505",450,450,1,4,3,53,80,268,41,0
"2,002",CALIFORNIA,Fairfax,"7,587",124,124,0,0,2,3,21,85,13,0
"2,002",CALIFORNIA,Farmersville,"9,058",548,549,0,4,11,56,95,328,54,1
"2,002",CALIFORNIA,Ferndale,"1,433",22,22,0,0,0,0,9,11,2,0
"2,002",CALIFORNIA,Firebaugh,"5,954",181,181,0,0,0,24,33,100,24,0
"2,002",CALIFORNIA,Fort Bragg,"7,284",267,267,0,5,6,32,44,176,4,0
"2,002",CALIFORNIA,Fort Jones,684,24,24,0,0,0,1,13,9,1,0
"2,002",CALIFORNIA,Fowler,"4,126",170,170,0,0,2,14,29,95,30,0
"2,002",CALIFORNIA,Gonzales,"7,802",156,158,1,1,6,0,26,121,1,2
"2,002",CALIFORNIA,Gridley,"5,580",436,436,0,4,1,56,92,255,28,0
"2,002",CALIFORNIA,Guadalupe,"5,867",120,121,0,3,0,26,26,55,10,1
"2,002",CALIFORNIA,Gustine,"4,871",133,136,0,2,2,10,31,81,7,3
"2,002",CALIFORNIA,Hidden Hills,"1,944",16,16,0,0,0,2,6,8,0,0
"2,002",CALIFORNIA,Holtville,"5,818",112,113,0,2,1,1,36,65,7,1
