"","Cities/Areas","2010","2011","2012","2013","2014","2015","2015 Rank","state"
"363","Warner Robins",6367,6532,6622,6607,6711,6865,244," GA"
"364","Washington-Arlington-Alexandria",432364,445207,454109,460375,474375,491042,5," DC-VA-MD-WV"
"365","Waterloo-Cedar Falls",7747,7767,9287,8870,9269,9283,209," IA"
"366","Watertown-Fort Drum",6255,6555,6512,6463,6415,6436,256," NY"
"367","Wausau",5804,6036,6563,6789,7288,7653,230," WI"
"368","Weirton-Steubenville",3526,3533,3763,3769,3866,3959,344," WV-OH"
"369","Wenatchee",3685,3796,3945,4044,4223,4405,336," WA"
"370","Wheeling",5840,6038,6243,6811,7244,7223,239," WV-OH"
"371","Wichita",28193,30043,31084,29111,31063,31473,81," KS"
"372","Wichita Falls",5857,6417,6666,6763,6984,6305,261," TX"
"373","Williamsport",3925,4327,4532,4675,4950,4938,315," PA"
"374","Wilmington",11001,11552,11493,12306,13021,13607,166," NC"
"375","Winchester",5125,5260,5494,5657,5872,5911,273," VA-WV"
"376","Winston-Salem",25331,25658,25656,25789,27357,28599,89," NC"
"377","Worcester",34216,35022,35714,36876,37896,39257,67," MA-CT"
"378","Yakima",7700,8055,8417,8424,8807,9023,214," WA"
"379","York-Hanover",16164,16150,16048,16467,16746,17150,135," PA"
"380","Youngstown-Warren-Boardman",17293,18981,20398,20187,20897,21417,113," OH-PA"
"381","Yuba City",4757,4957,4986,5376,5488,5765,280," CA"
